これから折々お宅へ伺っても宜ござんすか	ええいらっしゃい
どこへ出るんだい。まあ御上がり	上野へ行って虎の鳴き声を聞こうと思うんです
虎の鳴き声を聞いたって詰らないじゃないか	ええ、今じゃいけません、これから方々散歩して夜十一時頃になって、上野へ行くんです
へえ	すると公園内の老木は森々として物凄いでしょう
そうさな、昼間より少しは淋しいだろう	それで何でもなるべく樹の茂った、昼でも人の通らない所を択ってあるいていると、いつの間にか紅塵万丈の都会に住んでる気はなくなって、山の中へ迷い込んだような心持ちになるに相違ないです
そんな心持ちになってどうするんだい	そんな心持ちになって、しばらく佇んでいるとたちまち動物園のうちで、虎が鳴くんです
そう旨く鳴くかい	大丈夫鳴きます。あの鳴き声は昼でも理科大学へ聞えるくらいなんですから、深夜闃寂として、四望人なく、鬼気肌に逼って、魑魅鼻を衝く際に……
魑魅鼻を衝くとは何の事だい	そんな事を云うじゃありませんか、怖い時に
そうかな。あんまり聞かないようだが。それで	それで虎が上野の老杉の葉をことごとく振い落すような勢で鳴くでしょう。物凄いでさあ
そりゃ物凄いだろう	どうです冒険に出掛けませんか。きっと愉快だろうと思うんです。どうしても虎の鳴き声は夜なかに聞かなくっちゃ、聞いたとはいわれないだろうと思うんです
雪江さん、憚りさま、これを出して来て下さい	わたし、いやよ
あら妙な人ね。寒月さんですよ。構やしないわ	でも、わたし、いやなんですもの
それ御覧なさい	あら大変だ
先生障子を張り易えましたね。誰が張ったんです	女が張ったんだ。よく張れているだろう
ええなかなかうまい。あの時々おいでになる御嬢さんが御張りになったんですか	うんあれも手伝ったのさ。このくらい障子が張れれば嫁に行く資格はあると云って威張ってるぜ
こっちの方は平ですが、右の端は紙が余って波が出来ていますね	あすこが張りたてのところで、もっとも経験の乏しい時に出来上ったところさ
先生ありゃ生徒ですか	うん
大変大きな頭ですね。学問は出来ますか	頭の割には出来ないがね、時々妙な質問をするよ。こないだコロンバスを訳して下さいって大に弱った
全く頭が大き過ぎますからそんな余計な質問をするんでしょう。先生何とおっしゃいました	ええ？　なあに好い加減な事を云って訳してやった
それでも訳す事は訳したんですか、こりゃえらい	小供は何でも訳してやらないと信用せんからね
先生もなかなか政治家になりましたね。しかし今の様子では、何だか非常に元気がなくって、先生を困らせるようには見えないじゃありませんか	今日は少し弱ってるんだよ。馬鹿な奴だよ
どうしたんです。何だかちょっと見たばかりで非常に可哀想になりました。全体どうしたんです	なに愚な事さ。金田の娘に艶書を送ったんだ
え？　あの大頭がですか。近頃の書生はなかなかえらいもんですね。どうも驚ろいた	君も心配だろうが……
何ちっとも心配じゃありません。かえって面白いです。いくら、艶書が降り込んだって大丈夫です	そう君が安心していれば構わないが……
構わんですとも私はいっこう構いません。しかしあの大頭が艶書をかいたと云うには、少し驚ろきますね	それがさ。冗談にしたんだよ。あの娘がハイカラで生意気だから、からかってやろうって、三人が共同して……
三人が一本の手紙を金田の令嬢にやったんですか。ますます奇談ですね。一人前の西洋料理を三人で食うようなものじゃありませんか	ところが手分けがあるんだ。一人が文章をかく、一人が投函する、一人が名前を借す。で今来たのが名前を借した奴なんだがね。これが一番愚だね。しかも金田の娘の顔も見た事がないって云うんだぜ。どうしてそんな無茶な事が出来たものだろう
そりゃ、近来の大出来ですよ。傑作ですね。どうもあの大頭が、女に文をやるなんて面白いじゃありませんか	飛んだ間違にならあね
なになったって構やしません、相手が金田ですもの	だって君が貰うかも知れない人だぜ
貰うかも知れないから構わないんです。なあに、金田なんか、構やしません	君は構わなくっても……
なに金田だって構やしません、大丈夫です	それならそれでいいとして、当人があとになって、急に良心に責められて、恐ろしくなったものだから、大に恐縮して僕のうちへ相談に来たんだ
へえ、それであんなに悄々としているんですか、気の小さい子と見えますね。先生何とか云っておやんなすったんでしょう	本人は退校になるでしょうかって、それを一番心配しているのさ
何で退校になるんです	そんな悪るい、不道徳な事をしたから
何、不道徳と云うほどでもありませんやね。構やしません。金田じゃ名誉に思ってきっと吹聴していますよ	まさか
とにかく可愛想ですよ。そんな事をするのがわるいとしても、あんなに心配させちゃ、若い男を一人殺してしまいますよ。ありゃ頭は大きいが人相はそんなにわるくありません。鼻なんかぴくぴくさせて可愛いです	君も大分迷亭見たように呑気な事を云うね
何、これが時代思潮です、先生はあまり昔し風だから、何でもむずかしく解釈なさるんです	しかし愚じゃないか、知りもしないところへ、いたずらに艶書を送るなんて、まるで常識をかいてるじゃないか
いたずらは、たいがい常識をかいていまさあ。救っておやんなさい。功徳になりますよ。あの容子じゃ華厳の滝へ出掛けますよ	そうだな
そうなさい。もっと大きな、もっと分別のある大僧共がそれどころじゃない、わるいいたずらをして知らん面をしていますよ。あんな子を退校させるくらいなら、そんな奴らを片っ端から放逐でもしなくっちゃ不公平でさあ	それもそうだね
それでどうです上野へ虎の鳴き声をききに行くのは	虎かい
ええ、聞きに行きましょう。実は二三日中にちょっと帰国しなければならない事が出来ましたから、当分どこへも御伴は出来ませんから、今日は是非いっしょに散歩をしようと思って来たんです	そうか帰るのかい、用事でもあるのかい
ええちょっと用事が出来たんです。――ともかくも出ようじゃありませんか	そう。それじゃ出ようか
そんな事をすると、せっかくの清戯を俗了してしまう。かけなどで勝負に心を奪われては面白くない。成敗を度外において、白雲の自然に岫を出でて冉々たるごとき心持ちで一局を了してこそ、個中の味はわかるものだよ	また来たね。そんな仙骨を相手にしちゃ少々骨が折れ過ぎる。宛然たる列仙伝中の人物だね
無絃の素琴を弾じさ	無線の電信をかけかね
とにかく、やろう	君が白を持つのかい
どっちでも構わない	さすがに仙人だけあって鷹揚だ。君が白なら自然の順序として僕は黒だね。さあ、来たまえ。どこからでも来たまえ
黒から打つのが法則だよ	なるほど。しからば謙遜して、定石にここいらから行こう
定石にそんなのはないよ	なくっても構わない。新奇発明の定石だ
迷亭君、君の碁は乱暴だよ。そんな所へ這入ってくる法はない	禅坊主の碁にはこんな法はないかも知れないが、本因坊の流儀じゃ、あるんだから仕方がないさ
しかし死ぬばかりだぜ	臣死をだも辞せず、いわんや肩をやと、一つ、こう行くかな
そうおいでになったと、よろしい。薫風南より来って、殿閣微涼を生ず。こう、ついでおけば大丈夫なものだ	おや、ついだのは、さすがにえらい。まさか、つぐ気遣はなかろうと思った。ついで、くりゃるな八幡鐘をと、こうやったら、どうするかね
どうするも、こうするもないさ。一剣天に倚って寒し――ええ、面倒だ。思い切って、切ってしまえ	やや、大変大変。そこを切られちゃ死んでしまう。おい冗談じゃない。ちょっと待った
それだから、さっきから云わん事じゃない。こうなってるところへは這入れるものじゃないんだ	這入って失敬仕り候。ちょっとこの白をとってくれたまえ
それも待つのかい	ついでにその隣りのも引き揚げて見てくれたまえ
ずうずうしいぜ、おい	Do you see the boy か。――なに君と僕の間柄じゃないか。そんな水臭い事を言わずに、引き揚げてくれたまえな。死ぬか生きるかと云う場合だ。しばらく、しばらくって花道から馳け出してくるところだよ
そんな事は僕は知らんよ	知らなくってもいいから、ちょっとどけたまえ
君さっきから、六返待ったをしたじゃないか	記憶のいい男だな。向後は旧に倍し待ったを仕り候。だからちょっとどけたまえと云うのだあね。君もよッぽど強情だね。座禅なんかしたら、もう少し捌けそうなものだ
しかしこの石でも殺さなければ、僕の方は少し負けになりそうだから……	君は最初から負けても構わない流じゃないか
僕は負けても構わないが、君には勝たしたくない	飛んだ悟道だ。相変らず春風影裏に電光をきってるね
春風影裏じゃない、電光影裏だよ。君のは逆だ	ハハハハもうたいてい逆かになっていい時分だと思ったら、やはりたしかなところがあるね。それじゃ仕方がないあきらめるかな
生死事大、無常迅速、あきらめるさ	アーメン
実は四日ばかり前に国から帰って来たのですが、いろいろ用事があって、方々馳けあるいていたものですから、つい上がられなかったのです	そう急いでくるには及ばないさ
急いで来んでもいいのですけれども、このおみやげを早く献上しないと心配ですから	鰹節じゃないか
ええ、国の名産です	名産だって東京にもそんなのは有りそうだぜ
かいだって、鰹節の善悪はわかりませんよ	少し大きいのが名産たる所以かね
まあ食べて御覧なさい	食べる事はどうせ食べるが、こいつは何だか先が欠けてるじゃないか
それだから早く持って来ないと心配だと云うのです	なぜ？
なぜって、そりゃ鼠が食ったのです	そいつは危険だ。滅多に食うとペストになるぜ
なに大丈夫、そのくらいかじったって害はありません	全体どこで噛ったんだい
船の中でです	船の中？　どうして
入れる所がなかったから、ヴァイオリンといっしょに袋のなかへ入れて、船へ乗ったら、その晩にやられました。鰹節だけなら、いいのですけれども、大切なヴァイオリンの胴を鰹節と間違えてやはり少々噛りました	そそっかしい鼠だね。船の中に住んでると、そう見境がなくなるものかな
なに鼠だから、どこに住んでてもそそっかしいのでしょう。だから下宿へ持って来てもまたやられそうでね。剣呑だから夜るは寝床の中へ入れて寝ました	少しきたないようだぜ
だから食べる時にはちょっとお洗いなさい	ちょっとくらいじゃ奇麗にゃなりそうもない
それじゃ灰汁でもつけて、ごしごし磨いたらいいでしょう	ヴァイオリンも抱いて寝たのかい
ヴァイオリンは大き過ぎるから抱いて寝る訳には行かないんですが……	なんだって？　ヴァイオリンを抱いて寝たって？　それは風流だ。行く春や重たき琵琶のだき心と云う句もあるが、それは遠きその上の事だ。明治の秀才はヴァイオリンを抱いて寝なくっちゃ古人を凌ぐ訳には行かないよ。かい巻に長き夜守るやヴァイオリンはどうだい。東風君、新体詩でそんな事が云えるかい
新体詩は俳句と違ってそう急には出来ません。しかし出来た暁にはもう少し生霊の機微に触れた妙音が出ます	そうかね、生霊はおがらを焚いて迎え奉るものと思ってたが、やっぱり新体詩の力でも御来臨になるかい
今度は君の番だよ。こっちで待ってるんだ	え？　もう打ったのかい
打ったとも、とうに打ったさ	どこへ
この白をはすに延ばした	なあるほど。この白をはすに延ばして負けにけりか、そんならこっちはと――こっちは――こっちはこっちはとて暮れにけりと、どうもいい手がないね。君もう一返打たしてやるから勝手なところへ一目打ちたまえ
そんな碁があるものか	そんな碁があるものかなら打ちましょう。――それじゃこのかど地面へちょっと曲がって置くかな。――寒月君、君のヴァイオリンはあんまり安いから鼠が馬鹿にして噛るんだよ、もう少しいいのを奮発して買うさ、僕が以太利亜から三百年前の古物を取り寄せてやろうか
どうか願います。ついでにお払いの方も願いたいもので	そんな古いものが役に立つものか
君は人間の古物とヴァイオリンの古物と同一視しているんだろう。人間の古物でも金田某のごときものは今だに流行しているくらいだから、ヴァイオリンに至っては古いほどがいいのさ。――さあ、独仙君どうか御早く願おう。けいまさのせりふじゃないが秋の日は暮れやすいからね	君のようなせわしない男と碁を打つのは苦痛だよ。考える暇も何もありゃしない。仕方がないから、ここへ一目入れて目にしておこう
おやおや、とうとう生かしてしまった。惜しい事をしたね。まさかそこへは打つまいと思って、いささか駄弁を振って肝胆を砕いていたが、やッぱり駄目か	当り前さ。君のは打つのじゃない。ごまかすのだ
それが本因坊流、金田流、当世紳士流さ。――おい苦沙弥先生、さすがに独仙君は鎌倉へ行って万年漬を食っただけあって、物に動じないね。どうも敬々服々だ。碁はまずいが、度胸は据ってる	だから君のような度胸のない男は、少し真似をするがいい
さあ君の番だ	君はヴァイオリンをいつ頃から始めたのかい。僕も少し習おうと思うのだが、よっぽどむずかしいものだそうだね
うむ、一と通りなら誰にでも出来るさ	同じ芸術だから詩歌の趣味のあるものはやはり音楽の方でも上達が早いだろうと、ひそかに恃むところがあるんだが、どうだろう
いいだろう。君ならきっと上手になるよ	君はいつ頃から始めたのかね
高等学校時代さ。――先生私しのヴァイオリンを習い出した顛末をお話しした事がありましたかね	いいえ、まだ聞かない
高等学校時代に先生でもあってやり出したのかい	なあに先生も何もありゃしない。独習さ
全く天才だね	独習なら天才と限った事もなかろう
そりゃ、どうでもいいが、どう云う風に独習したのかちょっと聞かしたまえ。参考にしたいから	話してもいい。先生話しましょうかね
ああ話したまえ	今では若い人がヴァイオリンの箱をさげて、よく往来などをあるいておりますが、その時分は高等学校生で西洋の音楽などをやったものはほとんどなかったのです。ことに私のおった学校は田舎の田舎で麻裏草履さえないと云うくらいな質朴な所でしたから、学校の生徒でヴァイオリンなどを弾くものはもちろん一人もありません。……
何だか面白い話が向うで始まったようだ。独仙君いい加減に切り上げようじゃないか	まだ片づかない所が二三箇所ある
あってもいい。大概な所なら、君に進上する	そう云ったって、貰う訳にも行かない
禅学者にも似合わん几帳面な男だ。それじゃ一気呵成にやっちまおう。――寒月君何だかよっぽど面白そうだね。――あの高等学校だろう、生徒が裸足で登校するのは……	そんな事はありません
でも、皆なはだしで兵式体操をして、廻れ右をやるんで足の皮が大変厚くなってると云う話だぜ	まさか。だれがそんな事を云いました
だれでもいいよ。そうして弁当には偉大なる握り飯を一個、夏蜜柑のように腰へぶら下げて来て、それを食うんだって云うじゃないか。食うと云うよりむしろ食いつくんだね。すると中心から梅干が一個出て来るそうだ。この梅干が出るのを楽しみに塩気のない周囲を一心不乱に食い欠いて突進するんだと云うが、なるほど元気旺盛なものだね。独仙君、君の気に入りそうな話だぜ	質朴剛健でたのもしい気風だ
まだたのもしい事がある。あすこには灰吹きがないそうだ。僕の友人があすこへ奉職をしている頃吐月峰の印のある灰吹きを買いに出たところが、吐月峰どころか、灰吹と名づくべきものが一個もない。不思議に思って、聞いて見たら、灰吹きなどは裏の藪へ行って切って来れば誰にでも出来るから、売る必要はないと澄まして答えたそうだ。これも質朴剛健の気風をあらわす美譚だろう、ねえ独仙君	うむ、そりゃそれでいいが、ここへ駄目を一つ入れなくちゃいけない
よろしい。駄目、駄目、駄目と。それで片づいた。――僕はその話を聞いて、実に驚いたね。そんなところで君がヴァイオリンを独習したのは見上げたものだ。独にして不羣なりと楚辞にあるが寒月君は全く明治の屈原だよ	屈原はいやですよ
それじゃ今世紀のウェルテルさ。――なに石を上げて勘定をしろ？　やに物堅い性質だね。勘定しなくっても僕は負けてるからたしかだ	しかし極りがつかないから……
土地柄がすでに土地柄だのに、私の国のものがまた非常に頑固なので、少しでも柔弱なものがおっては、他県の生徒に外聞がわるいと云って、むやみに制裁を厳重にしましたから、ずいぶん厄介でした	君の国の書生と来たら、本当に話せないね。元来何だって、紺の無地の袴なんぞ穿くんだい。第一あれからして乙だね。そうして塩風に吹かれつけているせいか、どうも、色が黒いね。男だからあれで済むが女があれじゃさぞかし困るだろう
女もあの通り黒いのです	それでよく貰い手があるね
だって一国中ことごとく黒いのだから仕方がありません	因果だね。ねえ苦沙弥君
ともかくも女は全然不必要な者だ	そんな事を云うと妻君が後でご機嫌がわるいぜ
なに大丈夫だ	いないのかい
小供を連れて、さっき出掛けた	どうれで静かだと思った。どこへ行ったのだい
どこだか分らない。勝手に出てあるくのだ	そうして勝手に帰ってくるのかい
妻を持つとみんなそう云う気になるのさ。ねえ独仙君、君なども妻君難の方だろう	ええ？　ちょっと待った。四六二十四、二十五、二十六、二十七と。狭いと思ったら、四十六目あるか。もう少し勝ったつもりだったが、こしらえて見ると、たった十八目の差か。――何だって？
君も妻君難だろうと云うのさ	アハハハハ別段難でもないさ。僕の妻は元来僕を愛しているのだから
そいつは少々失敬した。それでこそ独仙君だ	独仙君ばかりじゃありません。そんな例はいくらでもありますよ
御名論だ。僕などはとうてい絶対の境に這入れそうもない	妻を貰えばなお這入れやしない
ともかくも我々未婚の青年は芸術の霊気にふれて向上の一路を開拓しなければ人生の意義が分からないですから、まず手始めにヴァイオリンでも習おうと思って寒月君にさっきから経験譚をきいているのです	そうそう、ウェルテル君のヴァイオリン物語を拝聴するはずだったね。さあ話し給え。もう邪魔はしないから
へえ、そうかも知れませんが、やはり芸術は人間の渇仰の極致を表わしたものだと思いますから、どうしてもこれを捨てる訳には参りません	捨てる訳に行かなければ、お望み通り僕のヴァイオリン談をして聞かせる事にしよう、で今話す通りの次第だから僕もヴァイオリンの稽古をはじめるまでには大分苦心をしたよ。第一買うのに困りましたよ先生
そうだろう麻裏草履がない土地にヴァイオリンがあるはずがない	いえ、ある事はあるんです。金も前から用意して溜めたから差支えないのですが、どうも買えないのです
なぜ？	狭い土地だから、買っておればすぐ見つかります。見つかれば、すぐ生意気だと云うので制裁を加えられます
天才は昔から迫害を加えられるものだからね	また天才か、どうか天才呼ばわりだけは御免蒙りたいね。それでね毎日散歩をしてヴァイオリンのある店先を通るたびにあれが買えたら好かろう、あれを手に抱えた心持ちはどんなだろう、ああ欲しい、ああ欲しいと思わない日は一日もなかったのです
もっともだ	妙に凝ったものだね
そんな所にどうしてヴァイオリンがあるかが第一ご不審かも知れないですが、これは考えて見ると当り前の事です。なぜと云うとこの地方でも女学校があって、女学校の生徒は課業として毎日ヴァイオリンを稽古しなければならないのですから、あるはずです。無論いいのはありません。ただヴァイオリンと云う名が辛うじてつくくらいのものであります。だから店でもあまり重きをおいていないので、二三梃いっしょに店頭へ吊るしておくのです。それがね、時々散歩をして前を通るときに風が吹きつけたり、小僧の手が障ったりして、そら音を出す事があります。その音を聞くと急に心臓が破裂しそうな心持で、いても立ってもいられなくなるんです	危険だね。水癲癇、人癲癇と癲癇にもいろいろ種類があるが君のはウェルテルだけあって、ヴァイオリン癲癇だ
いやそのくらい感覚が鋭敏でなければ真の芸術家にはなれないですよ。どうしても天才肌だ	ええ実際癲癇かも知れませんが、しかしあの音色だけは奇体ですよ。その後今日まで随分ひきましたがあのくらい美しい音が出た事がありません。そうさ何と形容していいでしょう。とうてい言いあらわせないです
私が毎日毎日店頭を散歩しているうちにとうとうこの霊異な音を三度ききました。三度目にどうあってもこれは買わなければならないと決心しました。仮令国のものから譴責されても、他県のものから軽蔑されても――よし鉄拳制裁のために絶息しても――まかり間違って退校の処分を受けても――、こればかりは買わずにいられないと思いました	それが天才だよ。天才でなければ、そんなに思い込める訳のものじゃない。羨しい。僕もどうかして、それほど猛烈な感じを起して見たいと年来心掛けているが、どうもいけないね。音楽会などへ行って出来るだけ熱心に聞いているが、どうもそれほどに感興が乗らない
乗らない方が仕合せだよ。今でこそ平気で話すようなもののその時の苦しみはとうてい想像が出来るような種類のものではなかった。――それから先生とうとう奮発して買いました	ふむ、どうして
ちょうど十一月の天長節の前の晩でした。国のものは揃って泊りがけに温泉に行きましたから、一人もいません。私は病気だと云って、その日は学校も休んで寝ていました。今晩こそ一つ出て行って兼て望みのヴァイオリンを手に入れようと、床の中でその事ばかり考えていました	偽病をつかって学校まで休んだのかい
全くそうです	なるほど少し天才だね、こりゃ
夜具の中から首を出していると、日暮れが待遠でたまりません。仕方がないから頭からもぐり込んで、眼を眠って待って見ましたが、やはり駄目です。首を出すと烈しい秋の日が、六尺の障子へ一面にあたって、かんかんするには癇癪が起りました。上の方に細長い影がかたまって、時々秋風にゆすれるのが眼につきます	何だい、その細長い影と云うのは
渋柿の皮を剥いて、軒へ吊るしておいたのです	ふん、それから
仕方がないから、床を出て障子をあけて椽側へ出て、渋柿の甘干しを一つ取って食いました	うまかったかい
うまいですよ、あの辺の柿は。とうてい東京などじゃあの味はわかりませんね	柿はいいがそれから、どうしたい
それからまたもぐって眼をふさいで、早く日が暮れればいいがと、ひそかに神仏に念じて見た。約三四時間も立ったと思う頃、もうよかろうと、首を出すとあにはからんや烈しい秋の日は依然として六尺の障子を照らしてかんかんする、上の方に細長い影がかたまって、ふわふわする	そりゃ、聞いたよ
何返もあるんだよ。それから床を出て、障子をあけて、甘干しの柿を一つ食って、また寝床へ這入って、早く日が暮れればいいと、ひそかに神仏に祈念をこらした	やっぱりもとのところじゃないか
まあ先生そう焦かずに聞いて下さい。それから約三四時間夜具の中で辛抱して、今度こそもうよかろうとぬっと首を出して見ると、烈しい秋の日は依然として六尺の障子へ一面にあたって、上の方に細長い影がかたまって、ふわふわしている	いつまで行っても同じ事じゃないか
それから床を出て障子を開けて、椽側へ出て甘干しの柿を一つ食って……	また柿を食ったのかい。どうもいつまで行っても柿ばかり食ってて際限がないね
私もじれったくてね	君より聞いてる方がよっぽどじれったいぜ
先生はどうも性急だから、話がしにくくって困ります	聞く方も少しは困るよ
そう諸君が御困りとある以上は仕方がない。たいていにして切り上げましょう。要するに私は甘干しの柿を食ってはもぐり、もぐっては食い、とうとう軒端に吊るした奴をみんな食ってしまいました	みんな食ったら日も暮れたろう
ところがそう行かないので、私が最後の甘干しを食って、もうよかろうと首を出して見ると、相変らず烈しい秋の日が六尺の障子へ一面にあたって……	僕あ、もう御免だ。いつまで行っても果てしがない
話す私も飽き飽きします	しかしそのくらい根気があればたいていの事業は成就するよ。だまってたら、あしたの朝まで秋の日がかんかんするんだろう。全体いつ頃にヴァイオリンを買う気なんだい
いつ買う気だとおっしゃるが、晩になりさえすれば、すぐ買いに出掛けるつもりなのです。ただ残念な事には、いつ頭を出して見ても秋の日がかんかんしているものですから――いえその時の私しの苦しみと云ったら、とうてい今あなた方の御じれになるどころの騒ぎじゃないです。私は最後の甘干を食っても、まだ日が暮れないのを見て、然として思わず泣きました。東風君、僕は実に情けなくって泣いたよ	そうだろう、芸術家は本来多情多恨だから、泣いた事には同情するが、話はもっと早く進行させたいものだね
進行させたいのは山々だが、どうしても日が暮れてくれないものだから困るのさ	そう日が暮れなくちゃ聞く方も困るからやめよう
やめちゃなお困ります。これからがいよいよ佳境に入るところですから	それじゃ聞くから、早く日が暮れた事にしたらよかろう
では、少しご無理なご注文ですが、先生の事ですから、枉げて、ここは日が暮れた事に致しましょう	それは好都合だ
いよいよ夜に入ったので、まず安心とほっと一息ついて鞍懸村の下宿を出ました。私は性来騒々しい所が嫌ですから、わざと便利な市内を避けて、人迹稀な寒村の百姓家にしばらく蝸牛の庵を結んでいたのです……	人迹の稀なはあんまり大袈裟だね
事実はどうでも言語が詩的で感じがいい	そんな所に住んでいては学校へ通うのが大変だろう。何里くらいあるんですか
学校まではたった四五丁です。元来学校からして寒村にあるんですから……	それじゃ学生はその辺にだいぶ宿をとってるんでしょう
ええ、たいていな百姓家には一人や二人は必ずいます	それで人迹稀なんですか
ええ学校がなかったら、全く人迹は稀ですよ。……で当夜の服装と云うと、手織木綿の綿入の上へ金釦の制服外套を着て、外套の頭巾をすぽりと被ってなるべく人の目につかないような注意をしました。折柄柿落葉の時節で宿から南郷街道へ出るまでは木の葉で路が一杯です。一歩運ぶごとにがさがさするのが気にかかります。誰かあとをつけて来そうでたまりません。振り向いて見ると東嶺寺の森がこんもりと黒く、暗い中に暗く写っています。この東嶺寺と云うのは松平家の菩提所で、庚申山の麓にあって、私の宿とは一丁くらいしか隔っていない、すこぶる幽邃な梵刹です。森から上はのべつ幕なしの星月夜で、例の天の河が長瀬川を筋違に横切って末は――末は、そうですね、まず布哇の方へ流れています……	布哇は突飛だね
南郷街道をついに二丁来て、鷹台町から市内に這入って、古城町を通って、仙石町を曲って、喰代町を横に見て、通町を一丁目、二丁目、三丁目と順に通り越して、それから尾張町、名古屋町、鯱鉾町、蒲鉾町……	そんなにいろいろな町を通らなくてもいい。要するにヴァイオリンを買ったのか、買わないのか
楽器のある店は金善即ち金子善兵衛方ですから、まだなかなかです	なかなかでもいいから早く買うがいい
かしこまりました。それで金善方へ来て見ると、店にはランプがかんかんともって……	またかんかんか、君のかんかんは一度や二度で済まないんだから難渋するよ
いえ、今度のかんかんは、ほんの通り一返のかんかんですから、別段御心配には及びません。……灯影にすかして見ると例のヴァイオリンが、ほのかに秋の灯を反射して、くり込んだ胴の丸みに冷たい光を帯びています。つよく張った琴線の一部だけがきらきらと白く眼に映ります。……	なかなか叙述がうまいや
あれだな。あのヴァイオリンだなと思うと、急に動悸がして足がふらふらします……	ふふん
思わず馳け込んで、隠袋から蝦蟇口を出して、蝦蟇口の中から五円札を二枚出して……	とうとう買ったかい
買おうと思いましたが、まてしばし、ここが肝心のところだ。滅多な事をしては失敗する。まあよそうと、際どいところで思い留まりました	なんだ、まだ買わないのかい。ヴァイオリン一梃でなかなか人を引っ張るじゃないか
引っ張る訳じゃないんですが、どうも、まだ買えないんですから仕方がありません	なぜ
なぜって、まだ宵の口で人が大勢通るんですもの	構わんじゃないか、人が二百や三百通ったって、君はよっぽど妙な男だ
ただの人なら千が二千でも構いませんがね、学校の生徒が腕まくりをして、大きなステッキを持って徘徊しているんだから容易に手を出せませんよ。中には沈澱党などと号して、いつまでもクラスの底に溜まって喜んでるのがありますからね。そんなのに限って柔道は強いのですよ。滅多にヴァイオリンなどに手出しは出来ません。どんな目に逢うかわかりません。私だってヴァイオリンは欲しいに相違ないですけれども、命はこれでも惜しいですからね。ヴァイオリンを弾いて殺されるよりも、弾かずに生きてる方が楽ですよ	それじゃ、とうとう買わずにやめたんだね
いえ、買ったのです	じれったい男だな。買うなら早く買うさ。いやならいやでいいから、早くかたをつけたらよさそうなものだ
えへへへへ、世の中の事はそう、こっちの思うように埒があくもんじゃありませんよ	朝日
東風君、僕はその時こう思ったね。とうていこりゃ宵の口は駄目だ、と云って真夜中に来れば金善は寝てしまうからなお駄目だ。何でも学校の生徒が散歩から帰りつくして、そうして金善がまだ寝ない時を見計らって来なければ、せっかくの計画が水泡に帰する。けれどもその時間をうまく見計うのがむずかしい	なるほどこりゃむずかしかろう
古人を待つ身につらき置炬燵と云われた事があるからね、また待たるる身より待つ身はつらいともあって軒に吊られたヴァイオリンもつらかったろうが、あてのない探偵のようにうろうろ、まごついている君はなおさらつらいだろう。累々として喪家の犬のごとし。いや宿のない犬ほど気の毒なものは実際ないよ	犬は残酷ですね。犬に比較された事はこれでもまだありませんよ
それから徒町から百騎町を通って、両替町から鷹匠町へ出て、県庁の前で枯柳の数を勘定して病院の横で窓の灯を計算して、紺屋橋の上で巻煙草を二本ふかして、そうして時計を見た。……	十時になったかい
惜しい事にならないね。――紺屋橋を渡り切って川添に東へ上って行くと、按摩に三人あった。そうして犬がしきりに吠えましたよ先生……	秋の夜長に川端で犬の遠吠をきくのはちょっと芝居がかりだね。君は落人と云う格だ
何かわるい事でもしたんですか	これからしようと云うところさ
可哀相にヴァイオリンを買うのが悪い事じゃ、音楽学校の生徒はみんな罪人ですよ	人が認めない事をすれば、どんないい事をしても罪人さ、だから世の中に罪人ほどあてにならないものはない。耶蘇もあんな世に生れれば罪人さ。好男子寒月君もそんな所でヴァイオリンを買えば罪人さ
それじゃ負けて罪人としておきましょう。罪人はいいですが十時にならないのには弱りました	もう一返、町の名を勘定するさ。それで足りなければまた秋の日をかんかんさせるさ。それでもおっつかなければまた甘干しの渋柿を三ダースも食うさ。いつまでも聞くから十時になるまでやりたまえ
おいもうヴァイオリンを買ったかい	これから買うところです
思い切って飛び込んで、頭巾を被ったままヴァイオリンをくれと云いますと、火鉢の周囲に四五人小僧や若僧がかたまって話をしていたのが驚いて、申し合せたように私の顔を見ました。私は思わず右の手を挙げて頭巾をぐいと前の方に引きました。おいヴァイオリンをくれと二度目に云うと、一番前にいて、私の顔を覗き込むようにしていた小僧がへえと覚束ない返事をして、立ち上がって例の店先に吊るしてあったのを三四梃一度に卸して来ました。いくらかと聞くと五円二十銭だと云います……	おいそんな安いヴァイオリンがあるのかい。おもちゃじゃないか
みんな同価かと聞くと、へえ、どれでも変りはございません。みんな丈夫に念を入れて拵らえてございますと云いますから、蝦蟇口のなかから五円札と銀貨を二十銭出して用意の大風呂敷を出してヴァイオリンを包みました。この間、店のものは話を中止してじっと私の顔を見ています。顔は頭巾でかくしてあるから分る気遣はないのですけれども何だか気がせいて一刻も早く往来へ出たくて堪りません。ようやくの事風呂敷包を外套の下へ入れて、店を出たら、番頭が声を揃えてありがとうと大きな声を出したのにはひやっとしました。往来へ出てちょっと見廻して見ると、幸誰もいないようですが、一丁ばかり向から二三人して町内中に響けとばかり詩吟をして来ます。こいつは大変だと金善の角を西へ折れて濠端を薬王師道へ出て、はんの木村から庚申山の裾へ出てようやく下宿へ帰りました。下宿へ帰って見たらもう二時十分前でした	夜通しあるいていたようなものだね
やっと上がった。やれやれ長い道中双六だ	これからが聞きどころですよ。今までは単に序幕です
